PC6,Aantal Huishoudens,Aantal Inwoners,AVG_GEVOELIG
1068RD,20,35,False
1068RE,25,40,False
1068RG,Onbekend,Onbekend,True
1068RH,35,50,False
1068RJ,25,35,False
1068RK,45,65,False
1068RL,45,60,False
1068RM,40,75,False
1068RN,40,75,False
1068RP,35,70,False
1068RR,15,55,False
1068RS,20,45,False
1068RT,Onbekend,Onbekend,True
1068RV,25,45,False
1068RW,25,50,False
1068RX,25,30,False
1068RZ,20,35,False
1068SB,40,60,False
1068SC,25,35,False
1068SE,20,35,False
1068SG,20,35,False
1068SH,35,45,False
1068SJ,35,50,False
1068SK,25,40,False
1068SL,35,90,False
1068SM,45,80,False
1068SN,30,45,False
1068SP,10,25,True
1068SR,Onbekend,Onbekend,True
1068ST,20,35,False
1068SW,15,35,False
1068SX,15,20,False
1068SZ,30,45,False
1068TA,Onbekend,Onbekend,True
1068TB,Onbekend,Onbekend,True
1068TC,Onbekend,Onbekend,True
1068TD,55,65,False
1068TG,Onbekend,Onbekend,True
1068VM,140,280,False
1068VN,170,355,False
1068VP,25,60,False
1068VR,25,55,False
1068VS,25,50,False
1068VT,25,60,False
1068VV,25,45,False
1068VW,25,65,False
1068VX,25,55,False
1068VZ,25,45,False
1068WB,25,55,False
1068WC,25,55,False
1068WD,25,60,False
1068WE,25,50,False
1068WG,25,60,False
1068WH,20,45,False
1068WJ,20,55,False
1068WK,25,45,False
1068WL,20,30,False
1068WP,20,35,False
1068WS,20,35,False
1068WT,35,60,False
1068WV,20,40,False
1068WX,15,40,False
1068WZ,20,30,False
1068XA,15,30,False
1068XB,15,25,False
1068XG,20,35,False
1068XJ,20,25,False
1068XL,20,25,False
1068XM,20,25,False
1068XN,20,25,False
1068XT,20,30,False
1068XV,20,20,False
1068XX,20,25,False
1068XZ,20,45,False
1068ZA,20,35,False
1068ZB,20,30,False
1068ZC,20,25,False
1068ZE,25,35,False
1068ZG,20,30,False
1068ZH,20,35,False
1068ZJ,20,35,False
1068ZT,30,95,False
1068ZV,40,95,False
1068ZW,90,285,False
1068ZX,75,155,False
1068ZZ,210,460,False
1069AA,Onbekend,45,True
1069AB,Onbekend,5,True
1069AC,10,25,True
1069AD,30,70,False
1069AE,160,220,False
1069AG,15,15,False
1069AJ,Onbekend,Onbekend,True
1069AL,60,195,False
1069AT,100,270,False
1069BB,20,45,False
1069BC,20,60,False
1069BH,20,55,False
1069BJ,Onbekend,Onbekend,True
1069BK,25,50,False
1069BL,25,60,False
1069BM,20,45,False
1069BN,20,40,False
1069BP,15,40,False
1069BR,25,65,False
1069BS,25,45,False
1069BT,30,60,False
1069BV,25,60,False
1069BW,Onbekend,175,True
1069BX,125,270,False
1069BZ,Onbekend,Onbekend,True
1069CA,Onbekend,Onbekend,True
1069CB,Onbekend,Onbekend,True
1069CC,Onbekend,115,True
1069CD,Onbekend,Onbekend,True
1069CE,Onbekend,Onbekend,True
1069CG,Onbekend,Onbekend,True
1069CL,160,395,False
1069CW,Onbekend,Onbekend,True
1069CX,25,65,False
1069CZ,25,85,False
1069DA,320,580,False
1069DG,35,60,False
1069DH,25,30,False
1069DJ,25,30,False
1069DK,20,25,False
1069DL,20,25,False
1069DM,40,80,False
1069DN,Onbekend,Onbekend,True
1069DP,40,85,False
1069DR,25,40,False
1069DS,Onbekend,Onbekend,True
1069DT,30,50,False
1069DV,30,55,False
1069DW,25,55,False
1069DX,30,50,False
1069DZ,Onbekend,Onbekend,True
1069EA,Onbekend,Onbekend,True
1069EB,20,35,False
1069EC,155,265,False
1069ED,130,195,False
1069EE,130,220,False
1069EG,135,210,False
1069EH,135,235,False
1069EJ,5,15,True
1069EK,40,75,False
1069EL,35,80,False
1069EM,30,60,False
1069EN,15,30,False
1069EP,10,20,True
1069ER,30,65,False
1069ES,30,65,False
1069ET,25,60,False
1069EV,25,60,False
1069EW,20,55,False
1069EX,20,45,False
1069EZ,5,25,True
1069GA,480,965,False
1069GB,25,60,False
1069GC,30,55,False
1069GD,40,345,False
1069GE,50,95,False
1069GG,85,110,False
1069GH,15,45,False
1069GJ,10,25,True
1069GK,15,35,False
1069GL,15,45,False
1069GM,25,30,False
1069GN,15,20,False
1069GP,30,35,False
1069GR,20,25,False
1069GS,20,65,False
1069GT,55,100,False
1069GV,55,140,False
1069GZ,95,225,False
1069HB,40,100,False
1069HD,110,240,False
1069HK,115,300,False
1069HM,75,165,False
1069HN,70,155,False
1069HP,40,50,False
1069HR,Onbekend,Onbekend,True
1069HT,40,140,False
1069HV,60,150,False
1069HX,30,70,False
1069HZ,25,70,False
1069JA,20,40,False
1069JC,35,85,False
1069JR,40,100,False
1069JT,20,25,False
1069KA,70,195,False
1069KB,50,110,False
1069KD,205,450,False
1069KE,180,405,False
1069KG,45,135,False
1069KJ,60,155,False
1069KS,50,155,False
1069KV,60,165,False
1069KW,105,250,False
1069LA,125,300,False
1069LC,30,55,False
1069LE,30,45,False
1069LH,20,20,False
1069LK,120,255,False
1069LL,15,45,False
1069LM,Onbekend,Onbekend,True
1069LN,35,85,False
1069LR,Onbekend,Onbekend,True
1069LS,10,25,True
1069LT,Onbekend,15,True
1069LV,Onbekend,Onbekend,True
1069LW,55,155,False
1069MC,10,25,True
1069MD,15,35,False
1069ME,15,35,False
1069MG,10,35,True
1069MH,10,30,True
1069MJ,10,30,True
1069MK,15,30,False
1069ML,5,20,True
1069MN,25,50,False
1069MP,45,100,False
1069MR,50,145,False
1069MS,15,45,False
1069MT,25,70,False
1069MV,20,50,False
1069MX,25,75,False
1069MZ,65,90,False
1069NB,85,210,False
1069NC,80,165,False
1069ND,70,150,False
1069NE,55,120,False
1069NG,15,30,False
1069NH,35,85,False
1069NJ,50,125,False
1069NK,60,125,False
1069NL,40,100,False
1069NM,40,80,False
1069NN,15,35,False
1069NP,45,120,False
1069NR,40,85,False
1069NS,25,60,False
1069NT,60,125,False
1069NV,15,45,False
1069NW,30,55,False
1069NX,15,40,False
1069NZ,25,50,False
1069PA,20,75,False
1069PB,60,115,False
1069PC,Onbekend,Onbekend,True
1069PD,40,110,False
1069PE,50,90,False
1069PG,40,125,False
1069PH,20,45,False
1069PJ,40,125,False
1069PK,50,105,False
1069PL,50,120,False
1069PM,60,125,False
1069PN,15,40,False
1069PP,25,55,False
1069PR,115,250,False
1069PS,100,220,False
1069PT,35,75,False
1069PV,30,75,False
1069PW,35,65,False
1069PX,75,160,False
1069RA,65,105,False
1069RB,20,45,False
1069RC,40,100,False
1069RD,25,45,False
1069RE,100,175,False
1069RG,40,75,False
1069RH,35,80,False
1069RJ,45,75,False
1069RK,Onbekend,Onbekend,True
1069RL,90,220,False
1069RM,35,75,False
1069RN,60,120,False
1069RR,215,360,False
1069RS,220,430,False
1069RT,95,190,False
1069RV,25,90,False
1069SC,170,350,False
1069SE,90,200,False
1069SG,50,120,False
1069SH,25,70,False
1069SR,70,200,False
1069SZ,150,360,False
1069TD,80,180,False
1069TK,125,380,False
1069TL,Onbekend,Onbekend,True
1069TM,Onbekend,10,True
1069TN,35,135,False
1069TP,40,110,False
1069TR,130,250,False
1069TS,125,230,False
1069TT,25,60,False
1069TV,Onbekend,Onbekend,True
1069TW,20,55,False
1069TX,Onbekend,30,True
1069TZ,20,60,False
1069VA,15,40,False
1069VB,10,30,True
1069VC,15,40,False
1069VD,10,30,True
1069VE,20,70,False
1069VG,15,50,False
1069VH,15,50,False
1069VJ,20,65,False
1069VK,15,35,False
1069VL,15,35,False
1069VM,20,75,False
1069VN,25,75,False
1069VP,10,30,True
1069VR,15,45,False
1069VS,20,45,False
1069VT,15,35,False
1069VV,15,40,False
1069VW,45,135,False
1069VX,35,90,False
1069VZ,15,45,False
1069WB,15,30,False
1069WC,15,30,False
1069WD,15,40,False
1069WE,30,65,False
1069WG,25,40,False
1069WH,25,30,False
1069WJ,30,85,False
1069WK,Onbekend,Onbekend,True
1069WL,Onbekend,Onbekend,True
1069WN,30,30,False
1069WP,45,135,False
1069WR,20,40,False
1069WS,35,60,False
1069WT,35,55,False
1069WV,30,45,False
1069WX,30,45,False
1069WZ,15,40,False
1069XG,30,60,False
1069XH,25,60,False
1069XJ,20,35,False
1069XK,25,75,False
1069XL,15,40,False
1069XM,25,80,False
1069XN,20,45,False
1069XP,20,60,False
1069XR,25,80,False
1069XS,25,50,False
1069XT,25,60,False
1069XV,25,70,False
1069XW,15,35,False
1069XX,25,70,False
1069XZ,25,60,False
1069ZA,20,55,False
1069ZB,25,70,False
1069ZC,20,45,False
1069ZD,25,75,False
1069ZE,30,65,False
1069ZG,25,60,False
1069ZH,20,50,False
1069ZJ,20,55,False
1069ZK,25,70,False
1069ZL,15,45,False
1069ZM,25,55,False
1069ZN,15,35,False
1069ZP,25,55,False
1069ZR,75,200,False
1069ZT,5,20,True
1069ZW,15,30,False
1069ZZ,25,55,False
1071AA,Onbekend,Onbekend,True
1071AB,10,20,True
1071AC,20,25,False
1071AD,5,15,True
1071AE,10,20,True
1071AG,15,25,False
1071AH,10,15,True
1071AJ,10,20,True
1071AK,30,55,False
1071AL,5,10,True
1071AM,Onbekend,10,True
1071AN,Onbekend,Onbekend,True
1071AP,10,10,True
1071AR,15,30,False
1071AS,25,45,False
1071AT,20,30,False
1071AV,20,30,False
1071AW,15,20,False
1071AX,15,20,False
1071AZ,5,5,True
1071BA,15,30,False
1071BB,20,20,False
1071BC,35,40,False
1071BD,25,55,False
1071BE,10,35,True
1071BG,15,30,False
1071BH,25,40,False
1071BJ,25,70,False
1071BK,5,10,True
1071BL,15,30,False
1071BM,20,25,False
1071BN,15,25,False
1071BP,10,15,True
1071BR,15,25,False
1071BS,10,20,True
1071BT,20,30,False
1071BV,15,20,False
1071BW,5,5,True
1071BX,10,15,True
1071BZ,10,20,True
1071CA,15,25,False
1071CB,15,25,False
1071CC,10,15,True
1071CD,20,25,False
1071CE,10,20,True
1071CG,15,20,False
1071CH,30,50,False
1071CJ,10,40,True
1071CK,Onbekend,10,True
1071CL,30,45,False
1071CM,10,25,True
1071CN,10,15,True
1071CP,15,25,False
1071CR,15,30,False
1071CS,20,25,False
1071CT,10,25,True
1071CV,5,20,True
1071CW,5,10,True
1071CX,Onbekend,10,True
1071CZ,Onbekend,Onbekend,True
1071DA,5,10,True
1071DB,10,15,True
1071DC,Onbekend,Onbekend,True
1071DD,Onbekend,5,True
1071DE,Onbekend,Onbekend,True
1071DG,10,15,True
1071DH,15,30,False
1071DJ,Onbekend,5,True
1071DK,20,25,False
1071DL,15,35,False
1071DM,15,25,False
1071DN,20,40,False
1071DP,15,40,False
1071DR,Onbekend,5,True
1071DS,10,15,True
1071DT,5,20,True
1071DV,10,20,True
1071DW,Onbekend,10,True
1071DX,10,15,True
1071DZ,Onbekend,Onbekend,True
1071EA,5,10,True
1071EB,10,20,True
1071EC,10,25,True
1071ED,80,150,False
1071EE,30,55,False
1071EG,10,25,True
1071EH,15,35,False
1071EJ,10,30,True
1071EK,10,20,True
1071EL,15,25,False
1071EM,15,40,False
1071EN,15,25,False
1071EP,10,25,True
1071ER,10,25,True
1071ES,25,45,False
1071ET,35,50,False
1071EV,15,35,False
1071EW,15,35,False
1071EX,15,35,False
1071EZ,15,30,False
1071GA,20,40,False
1071GB,10,25,True
1071GC,15,40,False
1071GD,10,35,True
1071GE,25,45,False
1071GG,15,35,False
1071GH,15,30,False
1071GJ,15,30,False
1071GK,15,25,False
1071GL,Onbekend,5,True
1071GM,20,40,False
1071GN,20,30,False
1071GP,10,30,True
1071GR,15,35,False
1071GS,10,25,True
1071GT,Onbekend,15,True
1071GV,15,35,False
1071GW,20,40,False
1071GX,10,25,True
1071GZ,10,25,True
1071HA,10,20,True
1071HB,20,30,False
1071HC,10,25,True
1071HD,Onbekend,5,True
1071HE,10,20,True
1071HG,5,10,True
1071HH,10,25,True
1071HJ,10,15,True
1071HK,Onbekend,5,True
1071HL,5,15,True
1071HM,25,35,False
1071HN,10,25,True
1071HP,10,35,True
1071HR,10,15,True
1071HS,5,15,True
1071HT,10,25,True
1071HV,20,40,False
1071HW,25,45,False
1071HX,10,25,True
1071HZ,15,20,False
1071JA,15,20,False
1071JB,20,55,False
1071JC,15,25,False
1071JD,15,25,False
1071JE,10,15,True
1071JG,10,20,True
1071JH,10,20,True
1071JJ,15,25,False
1071JK,5,15,True
1071JL,15,25,False
1071JM,10,35,True
1071JN,10,15,True
1071JP,5,15,True
1071JR,10,30,True
1071JS,5,15,True
1071JT,5,10,True
1071JV,20,50,False
1071JW,10,15,True
1071JX,15,30,False
1071JZ,20,40,False
1071KA,10,30,True
1071KB,15,35,False
1071KC,10,15,True
1071KD,10,20,True
1071KE,10,20,True
1071KG,10,20,True
1071KH,5,15,True
1071KJ,25,40,False
1071KK,10,25,True
1071KL,20,30,False
1071KM,10,15,True
1071KN,10,20,True
1071KP,15,30,False
1071KR,5,15,True
1071KS,30,50,False
1071KT,15,30,False
1071KV,15,25,False
1071KW,25,35,False
1071KX,25,50,False
1071KZ,25,55,False
1071LA,10,20,True
1071LB,10,20,True
1071LC,15,25,False
1071LD,20,35,False
1071LE,15,45,False
1071LG,15,35,False
1071LH,15,40,False
1071LJ,5,15,True
1071LK,50,65,False
1071LL,Onbekend,Onbekend,True
1071LM,10,15,True
1071LN,Onbekend,Onbekend,True
1071LP,30,55,False
1071LR,20,35,False
1071LS,25,55,False
1071LT,15,30,False
1071LV,15,50,False
1071LW,20,50,False
1071LX,25,55,False
1071LZ,20,45,False
1071MA,15,45,False
1071MB,25,45,False
1071MC,20,45,False
1071MD,15,30,False
1071ME,15,30,False
1071MG,15,20,False
1071MH,20,50,False
1071MJ,20,45,False
1071MK,15,40,False
1071ML,15,40,False
1071MN,25,60,False
1071MP,15,45,False
1071MR,20,35,False
1071MS,15,40,False
1071MT,15,30,False
1071MV,20,55,False
1071MX,10,20,True
1071MZ,15,25,False
1071NA,15,30,False
1071NB,15,30,False
1071NC,15,25,False
1071ND,20,40,False
1071NE,15,35,False
1071NG,15,30,False
1071NH,10,20,True
1071NJ,20,45,False
1071NK,10,20,True
1071NL,10,20,True
1071NM,10,25,True
1071NN,15,20,False
1071NP,10,25,True
1071NR,Onbekend,15,True
1071NS,15,30,False
1071NT,Onbekend,10,True
1071NV,10,25,True
1071NX,10,20,True
1071NZ,20,35,False
1071PA,5,15,True
1071PB,20,30,False
1071PC,10,15,True
1071PD,10,25,True
1071PE,10,10,True
1071PG,10,20,True
1071PH,20,40,False
1071PJ,25,45,False
1071PK,10,25,True
1071PL,30,45,False
1071PM,15,30,False
1071PN,15,30,False
1071PP,15,35,False
1071PR,20,30,False
1071PS,15,40,False
1071PT,20,40,False
1071PV,10,30,True
1071PW,15,25,False
1071PX,20,25,False
1071PZ,15,20,False
1071RA,15,40,False
1071RB,20,40,False
1071RC,20,35,False
1071RD,20,40,False
1071RE,10,30,True
1071RG,20,45,False
1071RH,15,40,False
1071RJ,20,35,False
1071RK,25,50,False
1071RL,15,35,False
1071RM,15,30,False
1071RN,25,45,False
1071RP,15,30,False
1071RR,35,65,False
1071RS,10,20,True
1071RT,25,50,False
1071RV,20,30,False
1071RW,25,50,False
1071RX,20,50,False
1071RZ,20,40,False
1071SB,15,35,False
1071SC,15,25,False
1071SE,10,25,True
1071SG,10,25,True
1071SH,10,30,True
1071SJ,15,30,False
1071SK,10,20,True
1071SL,10,20,True
1071SM,10,20,True
1071SN,20,35,False
1071SP,20,30,False
1071SR,20,30,False
1071ST,15,25,False
1071SV,15,25,False
1071SW,10,20,True
1071SX,20,50,False
1071SZ,20,40,False
1071TC,70,115,False
1071TD,75,130,False
1071TE,25,40,False
1071TG,20,35,False
1071TH,15,30,False
1071TJ,20,35,False
1071TK,20,30,False
1071TL,25,40,False
1071TM,25,40,False
1071TN,25,55,False
1071TP,20,40,False
1071TR,15,35,False
1071TS,15,35,False
1071TT,215,220,False
1071TV,50,80,False
1071TW,30,50,False
1071TX,30,40,False
1071TZ,45,65,False
1071VA,40,60,False
1071VB,40,65,False
1071VC,40,55,False
1071VD,30,50,False
1071VE,20,30,False
1071VG,40,65,False
1071VH,20,25,False
1071VJ,20,35,False
1071VK,25,35,False
1071VL,15,25,False
1071VM,20,45,False
1071VN,40,70,False
1071VP,25,45,False
1071VR,55,65,False
1071VS,40,60,False
1071VT,20,45,False
1071VV,25,45,False
1071VW,40,50,False
1071VX,25,50,False
1071VZ,15,25,False
1071WB,15,25,False
1071WC,15,25,False
1071WD,15,20,False
1071WE,15,30,False
1071WG,30,50,False
1071WH,35,60,False
1071WJ,15,20,False
1071WK,10,15,True
1071WL,20,35,False
1071WN,25,35,False
1071WP,25,40,False
1071WR,30,55,False
1071WS,20,40,False
1071WT,15,35,False
1071WV,15,30,False
1071WX,20,25,False
1071WZ,20,30,False
1071XA,55,80,False
1071XB,50,70,False
1071XC,20,35,False
1071XD,40,65,False
1071XE,30,40,False
1071XG,25,50,False
1071XH,55,90,False
1071XJ,25,40,False
1071XK,25,40,False
1071XL,15,25,False
1071XM,35,50,False
1071XN,25,40,False
1071XP,30,40,False
1071XR,15,25,False
1071XS,25,45,False
1071XT,20,35,False
1071XV,15,30,False
1071XW,Onbekend,Onbekend,True
1071XX,Onbekend,Onbekend,True
1071XZ,Onbekend,Onbekend,True
1071ZA,15,30,False
1071ZB,Onbekend,Onbekend,True
1071ZC,Onbekend,Onbekend,True
1071ZD,Onbekend,Onbekend,True
1071ZE,15,30,False
1071ZG,20,60,False
1071ZH,20,45,False
1071ZJ,20,30,False
1071ZK,30,50,False
1071ZL,25,50,False
1071ZM,20,40,False
1071ZN,25,60,False
1071ZP,25,50,False
1071ZR,15,30,False
1071ZS,25,50,False
1071ZT,25,50,False
1071ZV,20,50,False
1071ZW,15,40,False
1071ZX,25,45,False
1071ZZ,15,40,False
1072AA,15,25,False
1072AB,40,45,False
1072AC,15,25,False
1072AD,25,40,False
1072AE,15,30,False
1072AG,30,40,False
1072AH,25,50,False
1072AJ,25,45,False
1072AK,25,40,False
1072AL,30,40,False
1072AM,40,50,False
1072AN,15,20,False
1072AP,20,25,False
1072AR,15,25,False
1072AS,35,55,False
1072AT,25,35,False
1072AV,30,40,False
1072AW,20,40,False
1072AX,15,25,False
1072AZ,35,65,False
1072BB,85,110,False
1072BC,20,40,False
1072BD,30,35,False
1072BE,55,80,False
1072BG,25,45,False
1072BH,20,35,False
1072BJ,30,45,False
1072BK,20,30,False
1072BL,30,55,False
1072BM,35,55,False
1072BN,25,35,False
1072BP,20,30,False
1072BR,45,70,False
1072BS,20,45,False
1072BT,30,45,False
1072BV,20,35,False
1072BW,25,30,False
1072BX,15,25,False
1072BZ,15,25,False
1072CA,35,50,False
1072CB,30,45,False
1072CC,35,45,False
1072CD,35,60,False
1072CE,25,30,False
1072CG,35,45,False
1072CH,35,45,False
1072CJ,35,45,False
1072CK,30,45,False
1072CL,40,55,False
1072CM,20,25,False
1072CN,25,35,False
1072CP,30,40,False
1072CR,35,45,False
1072CS,40,55,False
1072CT,25,40,False
1072CV,50,85,False
1072CW,30,40,False
1072CX,30,35,False
1072CZ,25,25,False
1072DA,20,30,False
1072EA,40,45,False
1072EB,15,20,False
1072EC,55,75,False
1072ED,40,50,False
1072EE,40,50,False
1072EG,50,60,False
1072EH,35,50,False
1072EJ,75,110,False
1072EK,20,35,False
1072EL,25,45,False
1072EM,30,50,False
1072EN,30,50,False
1072EP,25,30,False
1072ER,25,40,False
1072ES,40,55,False
1072ET,35,50,False
1072EV,25,35,False
1072EW,35,50,False
1072EX,25,35,False
1072EZ,25,40,False
1072GA,30,50,False
1072GB,25,50,False
1072GC,40,65,False
1072GD,25,35,False
1072GE,20,40,False
1072GG,Onbekend,15,True
1072GH,25,35,False
1072GJ,25,40,False
1072GK,25,50,False
1072GL,30,40,False
1072GM,25,45,False
1072GN,Onbekend,10,True
1072GP,15,20,False
1072GR,30,45,False
1072GS,45,70,False
1072GT,35,70,False
1072GV,30,45,False
1072GW,35,60,False
1072GX,40,60,False
1072GZ,40,55,False
1072HA,25,40,False
1072HB,30,35,False
1072HC,40,80,False
1072HD,40,70,False
1072HE,25,40,False
1072HG,25,35,False
1072HH,40,75,False
1072HJ,30,45,False
1072HK,20,30,False
1072HL,20,30,False
1072HM,30,50,False
1072HN,45,65,False
1072HP,25,40,False
1072HR,30,35,False
1072HS,30,50,False
1072HT,30,50,False
1072HV,30,45,False
1072JA,40,60,False
1072JB,25,45,False
1072JC,35,60,False
1072JD,40,55,False
1072JE,40,70,False
1072JG,45,65,False
1072JH,40,55,False
1072JJ,35,60,False
1072JK,30,50,False
1072JL,35,70,False
1072JM,20,35,False
1072JN,20,30,False
1072JP,15,30,False
1072JR,40,60,False
1072JS,20,25,False
1072JT,40,60,False
1072JV,30,50,False
1072JW,35,50,False
1072JX,30,50,False
1072JZ,45,75,False
1072KA,25,45,False
1072KD,Onbekend,Onbekend,True
1072KE,30,55,False
1072KG,Onbekend,Onbekend,True
1072KH,20,25,False
1072KJ,25,50,False
1072KK,15,25,False
1072KN,25,50,False
1072KP,25,40,False
1072KV,20,50,False
1072KW,30,45,False
1072KX,30,55,False
1072KZ,20,35,False
1072LA,20,40,False
1072LB,50,70,False
1072LC,35,40,False
1072LD,20,30,False
1072LE,20,30,False
1072LG,25,40,False
1072LH,90,135,False
1072LJ,25,30,False
1072LK,25,35,False
1072LL,30,45,False
1072LM,30,45,False
1072LN,35,50,False
1072LP,25,35,False
1072LR,30,50,False
1072LS,15,30,False
1072LT,35,55,False
1072LV,Onbekend,Onbekend,True
1072LW,Onbekend,Onbekend,True
1072LZ,45,80,False
1072MA,Onbekend,Onbekend,True
1072MB,15,30,False
1072ME,20,35,False
1072MG,Onbekend,Onbekend,True
1072MH,Onbekend,Onbekend,True
1072MK,50,85,False
1072ML,40,70,False
1072MN,35,70,False
1072NA,25,45,False
1072NB,30,50,False
1072NC,20,25,False
1072ND,15,20,False
1072NE,15,25,False
1072NG,40,60,False
1072NH,35,50,False
1072NJ,55,85,False
1072NK,40,60,False
1072NL,55,95,False
1072NM,15,35,False
1072NN,35,60,False
1072NP,30,45,False
1072NR,25,45,False
1072NS,20,30,False
1072NT,35,40,False
1072NV,5,5,True
1072NX,20,25,False
1072NZ,40,50,False
1072PA,30,50,False
1072PB,25,35,False
1072PC,30,50,False
1072PD,25,45,False
1072PE,25,45,False
1072PG,10,15,True
1072PH,25,35,False
1072PJ,50,65,False
1072PL,25,35,False
1072PM,30,45,False
1072PN,25,35,False
1072RA,40,75,False
1072RB,45,65,False
1072RC,20,40,False
1072RD,35,65,False
1072RE,50,80,False
1072RG,Onbekend,Onbekend,True
1072RS,35,60,False
1072RT,25,45,False
1072RV,20,35,False
1072RW,40,70,False
1072RX,40,55,False
1072SB,Onbekend,Onbekend,True
1072SC,30,55,False
1072SE,35,55,False
1072SG,25,35,False
1072SH,25,50,False
1072SJ,25,45,False
1072SK,15,25,False
1072SL,35,70,False
1072SM,40,60,False
1072SN,50,70,False
1072SP,25,30,False
1072SR,25,40,False
1072ST,30,40,False
1072SV,30,35,False
1072SW,45,80,False
1072SX,45,85,False
1072SZ,30,40,False
1072TA,35,55,False
1072TB,40,60,False
1072TC,40,55,False
1072TD,40,60,False
1072TE,50,75,False
1072TG,45,70,False
1072TH,55,85,False
1072TJ,45,55,False
1072TK,20,35,False
1072TL,25,40,False
1072TM,35,50,False
1072TN,55,75,False
1072TP,20,25,False
1072TR,20,50,False
1072TS,35,55,False
1072TT,55,70,False
1072TV,55,85,False
1072TW,45,65,False
1072TX,40,55,False
1072TZ,60,85,False
1072VA,35,50,False
1072VB,40,60,False
1072VC,45,60,False
1072VD,30,50,False
1072VE,10,10,True
1072VG,30,45,False
1072VH,25,30,False
1072VJ,30,50,False
1072VK,25,35,False
1072VL,35,50,False
1072VM,30,40,False
1072VN,15,25,False
1072VP,30,45,False
1072VR,30,45,False
1072VS,25,30,False
1072VT,30,40,False
1072VV,30,40,False
1072VW,25,30,False
1072VX,25,35,False
1072VZ,35,55,False
1072XA,35,65,False
1072XB,50,75,False
1072XC,30,55,False
1072XD,50,65,False
1072XE,25,45,False
1072XG,45,60,False
1072XH,25,40,False
1072XJ,45,70,False
1072XK,15,25,False
1072XL,40,65,False
1072XM,30,55,False
1072XN,25,50,False
1072XP,30,60,False
1072XR,35,55,False
1072XS,15,30,False
1072XT,30,45,False
1072XV,10,15,True
1072XW,35,50,False
1072XX,30,55,False
1072XZ,30,40,False
1072ZA,Onbekend,Onbekend,True
1073AA,40,70,False
1073AB,20,20,False
1073AC,10,15,True
1073AD,25,35,False
1073AE,40,65,False
1073AG,30,45,False
1073AH,10,15,True
1073AJ,25,45,False
1073AK,25,55,False
1073AL,20,30,False
1073AM,20,35,False
1073AN,35,45,False
1073AP,20,35,False
1073AR,20,30,False
1073AS,10,20,True
1073AT,20,25,False
1073AV,25,35,False
1073AW,30,50,False
1073AX,30,40,False
1073AZ,10,15,True
1073BA,15,30,False
1073BB,15,20,False
1073BC,30,45,False
1073BD,25,35,False
1073BE,55,90,False
1073BG,65,90,False
1073BH,40,50,False
1073BJ,35,55,False
1073BK,45,70,False
1073BL,35,45,False
1073BM,35,50,False
1073BN,30,50,False
1073BP,30,40,False
1073BR,55,65,False
1073BS,40,50,False
1073BT,30,40,False
1073BV,35,65,False
1073BW,60,85,False
1073BX,25,35,False
1073BZ,20,40,False
1073CA,20,30,False
1073CB,35,60,False
1073CC,25,45,False
1073CD,30,50,False
1073CE,30,50,False
1073CG,30,50,False
1073CH,45,60,False
1073CJ,40,55,False
1073CK,20,30,False
1073CL,20,25,False
1073CM,20,45,False
1073CN,30,50,False
1073CP,30,55,False
1073CR,30,55,False
1073CS,25,50,False
1073CT,20,45,False
1073CV,20,30,False
1073CW,25,40,False
1073CX,35,50,False
1073CZ,20,35,False
1073EA,25,45,False
1073EB,25,50,False
1073EC,20,30,False
1073ED,25,50,False
1073EE,20,35,False
1073EG,20,30,False
1073EH,35,50,False
1073EJ,40,75,False
1073EK,20,30,False
1073EL,45,60,False
1073EM,20,45,False
1073EN,35,65,False
1073EP,20,35,False
1073ER,85,125,False
1073ES,25,50,False
1073ET,40,60,False
1073EV,35,70,False
1073EW,40,55,False
1073EX,50,80,False
1073EZ,35,45,False
1073GA,40,70,False
1073GB,40,50,False
1073GC,25,35,False
1073GD,35,55,False
1073GE,35,50,False
1073GG,45,60,False
1073GH,30,50,False
1073GJ,75,125,False
1073GK,25,40,False
1073GL,50,75,False
1073GM,25,40,False
1073GN,25,45,False
1073GP,25,35,False
1073GR,30,55,False
1073GS,30,50,False
1073GT,25,40,False
1073GV,20,25,False
1073GW,20,30,False
1073GX,30,75,False
1073GZ,30,45,False
1073HA,30,60,False
1073HB,30,50,False
1073HC,20,40,False
1073HD,35,70,False
1073HE,30,70,False
1073HG,25,35,False
1073HH,30,55,False
1073HJ,30,40,False
1073HK,35,60,False
1073HL,25,55,False
1073HM,20,55,False
1073HN,25,40,False
1073HP,15,35,False
1073HR,25,35,False
1073HS,45,70,False
1073HT,15,30,False
1073HV,15,20,False
1073HW,45,80,False
1073HX,35,50,False
1073HZ,20,30,False
1073JA,30,35,False
1073JB,25,40,False
1073JC,30,45,False
1073JD,25,35,False
1073JE,35,55,False
1073JG,40,60,False
1073JH,25,45,False
1073JJ,35,45,False
1073JK,30,60,False
1073JL,20,30,False
1073JM,30,40,False
1073JN,20,25,False
1073JP,30,45,False
1073JR,20,30,False
1073JS,25,45,False
1073JT,25,55,False
1073JV,25,45,False
1073JW,20,30,False
1073JX,30,45,False
1073KA,40,55,False
1073KB,50,75,False
1073KC,Onbekend,10,True
1073KD,10,10,True
1073KG,85,150,False
1073KH,30,55,False
1073KJ,15,30,False
1073KK,25,45,False
1073KL,15,25,False
1073KM,20,35,False
1073KN,25,40,False
